Monat;N Infektionen;N Reinfektionen;% Reinfektionen
Mai 20;1120;0;0,00%
Jun 20;1132;0;0,00%
Jul 20;3402;2;0,06%
Aug 20;6390;2;0,03%
Sep 20;18260;2;0,01%
Okt 20;66065;11;0,02%
Nov 20;172303;24;0,01%
Dez 20;76414;13;0,02%
Jan 21;50379;30;0,06%
Feb 21;44293;100;0,23%
Mrz 21;86877;345;0,40%
Apr 21;70625;305;0,43%
Mai 21;34818;239;0,96%
Jun 21;5619;94;1,67%
Jul 21;8937;147;1,64%
Aug 21;30074;473;1,57%
Sep 21;54793;810;1,48%
Okt 21;90064;1182;1,31%
Nov 21;327869;5889;1,80%
Dez 21;107447;3504;3,26%
Jan 22;550557;59980;10,89%
Feb 22;742237;86762;11,69%
Mrz 22;1025870;135026;13,16%
Apr 22;353045;37383;14,83%
Mai 22;95978;16219;16,90%
Jun 22;151352;34027;22,48%
Jul 22;249160;68707;27,58%
;4425080;451276;10,70%
