Monat;N Infektionen;N Reinfektionen;% Reinfektionen
Mai 20;1120;0;0,00%
Jun 20;1131;0;0,00%
Jul 20;3403;2;0,06%
Aug 20;6390;2;0,03%
Sep 20;18260;2;0,01%
Okt 20;66067;11;0,02%
Nov 20;172317;23;0,01%
Dez 20;76418;13;0,02%
Jan 21;50385;28;0,06%
Feb 21;44305;100;0,23%
Mrz 21;86890;345;0,40%
Apr 21;70629;304;0,43%
Mai 21;24819;239;0,96%
Jun 21;5619;94;1,67%
Jul 21;8929;147;1,65%
Aug 21;30082;474;1,58%
Sep 21;54793;809;1,48%
Okt 21;90074;1184;1,31%
Nov 21;329439;5863;1,79%
Dez 21;107581;3496;3,25%
Jan 22;549874;59836;10,88%
Feb 22;741350;86633;11,69%
Mrz 22;1026341;134654;13,12%
Apr 22;252258;37248;14,77%
Mai 22;96058;16169;16,83%
;3914532;347676;8,91%
