Monat;N Infektionen;N Reinfektionen;% Reinfektionen
Mai 20;1120;0;0,00%
Jun 20;1132;0;0,00%
Jul 20;3404;2;0,06%
Aug 20;6392;2;0,03%
Sep 20;18262;2;0,01%
Okt 20;66069;11;0,02%
Nov 20;172310;22;0,01%
Dez 20;76418;13;0,02%
Jan 21;50398;32;0,06%
Feb 21;44386;101;0,23%
Mrz 21;87206;334;0,38%
Apr 21;70909;302;0,43%
Mai 21;25050;237;0,95%
Jun 21;5713;94;1,65%
Jul 21;9084;147;1,62%
Aug 21;30547;477;1,56%
Sep 21;55598;814;1,46%
Okt 21;91248;1192;1,31%
Nov 21;333714;5948;1,78%
Dez 21;110914;3530;3,18%
Jan 22;610305;60458;9,91%
Feb 22;828728;87325;10,54%
Mrz 22;1160695;135721;11,69%
Apr 22;289352;37527;12,97%
Mai 22;112182;16301;14,53%
Jun 22;185208;34036;18,38%
Jul 22;317603;69261;21,81%
Aug 22;168211;42872;25,49%
Sep 22;196368;58164;29,62%
;5128526;554925;11,34%
