Monat;N Infektionen;N Reinfektionen;% Reinfektionen
Mai 20;1120;0;0,00%
Jun 20;1131;0;0,00%
Jul 20;3403;2;0,06%
Aug 20;6390;2;0,03%
Sep 20;18259;2;0,01%
Okt 20;66065;11;0,02%
Nov 20;172306;24;0,01%
Dez 20;76418;13;0,02%
Jan 21;50376;29;0,06%
Feb 21;44201;101;0,23%
Mrz 21;86882;344;0,40%
Apr 21;70626;305;0,43%
Mai 21;24818;239;0,96%
Jun 21;5619;94;1,67%
Jul 21;8929;147;1,65%
Aug 21;30085;474;1,58%
Sep 21;54791;810;1,48%
Okt 21;90076;1185;1,32%
Nov 21;328445;5881;1,79%
Dez 21;107584;3507;3,26%
Jan 22;550614;59983;10,89%
Feb 22;742233;86754;11,69%
Mrz 22;1025936;135019;13,16%
Apr 22;252037;37382;14,83%
Mai 22;95978;16217;16,90%
Jun 22;151302;34129;22,56%
;4065624;382654;9,41%
