Monat;N Infektionen;N Reinfektionen;% Reinfektionen
Mai 20;1120;0;0,00%
Jun 20;1132;0;0,00%
Jul 20;3402;2;0,06%
Aug 20;6390;2;0,03%
Sep 20;18260;2;0,01%
Okt 20;66058;11;0,02%
Nov 20;172288;24;0,01%
Dez 20;76405;14;0,02%
Jan 21;50369;32;0,06%
Feb 21;44285;101;0,23%
Mrz 21;86869;346;0,40%
Apr 21;70616;306;0,43%
Mai 21;24813;240;0,97%
Jun 21;5619;94;1,67%
Jul 21;8936;148;1,66%
Aug 21;30069;478;1,59%
Sep 21;54784;814;1,49%
Okt 21;90050;1194;1,33%
Nov 21;327775;5953;1,82%
Dez 21;107407;3533;3,29%
Jan 22;550011;60455;10,99%
Feb 22;741633;87318;11,77%
Mrz 22;1024999;135841;13,25%
Apr 22;251804;37600;14,93%
Mai 22;95873;16316;17,02%
Jun 22;151107;34156;22,60%
Jul 22;248545;69086;27,80%
Aug 22;125378;42740;34,09%
;4435997;496806;11,65%
